reason,num_transactions,avg_gems_per_transaction,total_gems
login,36811,228267.19132867895,8402743580
quest_new_user,4885,839466.83930399234,4100795510
market_offer,5703,526115.593547256,3000437230
other_01,15541,135226.4333054501,2101554000
quest,532374,3763.4209409174828,2003547460
enemy_kill_02,25824,77273.715768277529,1995516436
game_mode_01,22838,44327.362290918645,1012348300
chest_05,93991,4484.9560064261386,421545500
chest_02,129758,2337.2817090275776,303281000
liveops_01,3670,5210.2588555858283,19121650
level_up,244234,68.2168698870756,16660879
achievement,321680,30.55087353892068,9827605
offer_01,230739,42.244436354495789,9747439
chest_03,4308,2159.9071494893228,9304880
other_03,8550,424.48538011695933,3629350
iap,2017,1769.6975706494795,3569480
gold_pack,25048,142.05325774512968,3558150
enemy_kill_03,30847,113.89211268518817,3513230
chest_04,23519,147.11297249032688,3459950
other_06,7320,396.40710382513669,2901700
other_09,19181,126.34586309368643,2423440
other_02,440,4914.3090909090906,2162296
enemy_kill_01,77479,27.307463957975717,2115755
offer_popup,1291,1044.3454686289697,1348250
game_mode_02,6523,165.90525831672545,1082200
mail,38196,27.62396586029951,1055125
other_08,46288,20.013286380919464,926375
offer_in_level,1234,510.5996758508914,630080
other_05,1447,239.1845196959226,346100
gift,2737,100.0,273700
energy,1970,130.0,256100
chest_08,368,389.13043478260869,143200
offer_02,212,558.96226415094338,118500
other_10,5541,18.767370510738136,103990
revive,316,208.38607594936707,65850
chest_06,404,100.0,40400
other_07,680,25.0,17000
chest_07,65,250.0,16250
other_11,10,90.0,900
